Вблизи температуры вращательного фазового перехода обнаружено образование кластеров молекул, обладающих большой амплитудой либронных колебаний.;42 Results-Reference
Определены энергетические параметры, определяющие изменение ориентации молекулы: разность энергий между ближайшими минимумами энергии молекул C60 в зависимости от ее ориентации (30 мВ) и высота потенциального барьера между ними (610 мВ).;41 Results-Specific
Результаты обсуждаются в рамках приближения теории среднего поля.;53 Conclusions-Reference
27;
Предлагается модель дисперсионного переноса в неупорядоченных наноструктурированных полупроводниках, учитывающая перколяционную структуру образца и параллельное действие нескольких механизмов.;2 Problem
Совместный учет топологического и энергетического беспорядков проведен на основе модели многократного захвата на гребешковой структуре, моделирующей перколяционный характер траекторий.;42 Results-Reference
Действие параллельных механизмов описано в рамках случайных блужданий со смесью распределений времен ожидания.;42 Results-Reference
Получены интегральные уравнения переноса с производными дробного порядка для произвольной плотности локализованных состояний.;42 Results-Reference
В рамках новой модели рассчитывается кинетика переходного тока с целью анализа время-пролетных экспериментов для наноструктурированных полупроводников.;42 Results-Reference
28;
Для нематических жидких кристаллов (НЖК)  с примесью конформационно активных соединений, находящихся под воздействием светового, низкочастотного электрического и магнитного полей, предложена теория ориентационных переходов, использующая разложение вращающих моментов, действующих на директор НЖК, по углу поворота директора.;42 Results-Reference
Построены фазовые диаграммы состояния НЖК в зависимости от интенсивности и поляризации светового поля, напряженности низкочастотного электрического поля и параметра, характеризующего обратную связь между поворотом директора НЖК и оптическим вращающим моментом.;42 Results-Reference
Определены условия возникновения переходов второго и первого рода.;42 Results-Reference
Предложенная теория согласуется с экспериментом.;52 Conclusions-Specific
29;
Рассмотрена кинетика атомов в трехмерной магнитооптической ловушке (МОЛ).;2 Problem
Для атома с оптическим переходом Jg=0 → Je=1 (Jg,e - полные угловые моменты в основном и возбужденном состояниях) в квазиклассическом приближении построена трехмерная модель МОЛ с учетом влияния относительных фаз световых полей на кинетику атомов.;42 Results-Reference
Показано, что влиянием относительных фаз можно пренебречь только в пределе малых интенсивностей световых полей.;42 Results-Reference
В общем случае выбор относительных фаз может оказывать сильное влияние на кинетику атомов в МОЛ.;53 Conclusions-Reference
30;
Проверяется тождество, которое связывает двухточечные функции Грина \cN=1 СКЭД с Nf ароматами, регуляризованной высшими производными, с помощью явных вычислений в трехпетлевом приближении.;2 Problem
Это тождество объясняет, почему в пределе нулевого внешнего импульса двухточечная функция Грина калибровочного суперполя задается интегралами от двойных полных производных в импульсном пространстве.;51 Conclusions-Explanation
Также оно позволяет вывести β-функцию NSVZ точно во всех петлях, если ренормгрупповые функции определяются в терминах голой константы связи.;51 Conclusions-Explanation
Для проверки рассматриваемого тождества оно используется для построения интегралов, определяющих трехпетлевую β-функцию, на основе двухточечных функций Грина для суперполей материи в двухпетлевом приближении.;2 Problem
Показано, что результаты для этих интегралов совпадают с суммами соответствующих трехпетлевых суперграфов.;42 Results-Reference
31;
Проведена экспериментальная проверка теоретического утверждения, что параметр асимметрии Фано и асимптотическая начальная фаза гармонического осциллятора, взаимодействующего с континуумом, взаимосвязаны.;42 Results-Reference
На примере когерентных полносимметричных A1g-фононов висмута, возбуждаемых сверхкороткими лазерными импульсами при гелиевой температуре, показано, что для отрицательных значений параметра асимметрии с уменьшением модуля параметра асимптотическая фаза возрастает.;32 Method-Procedure, 42 Results-Reference
32;
Представлены результаты экспериментального исследования свойств обладающих магнитоэлектрическим эффектом эпитаксиальных пленок ферритов-гранатов состава ( LuBi)3( FeGa)5 O12, выращенных на подложках с (210)-ориентацией.;32 Method-Procedure, 42 Results-Reference
Получены данные об особенностях наведенной анизотропии и поведении доменной структуры пленок в однородных и неоднородных внешних полях.;42 Results-Reference
Выполнен критический анализ существующих гипотез о природе магнитоэлектрической связи в изучаемых объектах.;42 Results-Reference
33;
Рассмотрено влияние конечной ширины спектральной линии лазерного излучения и спонтанной релаксации уровней на эффективность подавления полевого сдвига центрального резонанса для обобщенной схемы Рамси с импульсами разной длительности и скачком фазы во втором импульсе.;42 Results-Reference
Определены оптимальные условия схемы, соответствующие минимальному сдвигу частоты и максимальной амплитуде резонанса.;42 Results-Reference
34;
Проведено теоретическое исследование зависимости времени спин-пайерлсовского фазового перехода τ от длительности τp возбуждающего светового импульса и среднего числа x0 поглощенных фотонов на магнитный ион после прохождения импульса.;42 Results-Reference
Показано, что фазовый переход происходит при x0c.;41 Results-Specific
Найдена зависимость критического значения xc от длительности τp светового импульса.;42 Results-Reference
Вычислено фотоиндуцированное изменение коэффициента оптического отражения R в зависимости от времени t.;42 Results-Reference
Проведено сравнение с экспериментом  по сверхбыстрому фотоиндуцированному плавлению низкотемпературной спин-пайерлсовской фазы в калий -тетрацианхинодиметан (K-TCNQ).;42 Results-Reference
35;
Развит формализм обменной теории возмущений для случая взаимодействий, явно зависящих от времени.;42 Results-Reference
Поправки к волновой функции, полученные во всех порядках теории возмущений и представленные в инвариантной форме, включают в себя обменные вклады, обусловленные межцентровыми перестановками электронов в сложных многоцентровых системах.;42 Results-Reference, 51 Conclusions-Explanation
Для столкновений атомных систем с произвольным типом взаимодействия получены общие выражения для S- и T-матриц переходов и матрицы рассеяния, в которых последовательно учитываются межцентровые перестановки электронов между перекрывающимися неортогональными состояниями, принадлежащими разным центрам (атомам).;42 Results-Reference
Рассмотрена задача столкновения альфа-частицы с атомом лития с перераспределением электронов между центрами.;42 Results-Reference
Вычислено дифференциальное и полное сечения перезарядки лития.;42 Results-Reference
36;
Изучается взаимодействие поверхностной упругой волны Рэлея с электрон-дырочной плазмой двумерного полуметалла, обусловленное двумя механизмами взаимодействия - деформационного потенциала и пьезоэффекта.;2 Problem
Получены дисперсионные уравнения, описывающие связанные плазмон-акустические моды для обоих типов взаимодействия.;42 Results-Reference
Вычислено затухание рэлеевской волны.;42 Results-Reference
Рассчитано затухание акустической и оптической плазменных мод, обусловленное излучением звука плазменными колебаниями в объем подложки.;42 Results-Reference
Показано, что излучение звука в основном обусловлено акустической плазменной модой в случае деформационного механизма, и оптической - в случае пьезомеханизма.;42 Results-Reference
37;
Представлены результаты экспериментального наблюдения плавления плазменно-пылевого монослоя (двумерный фазовый переход) в газовом разряде низкого давления.;42 Results-Reference
Проведены измерения и выполнен анализ парных и ориентационных корреляционных функций, а также числа топологических дефектов в монослое.;42 Results-Reference
Характер изменения ориентационных корреляционных функций подтверждает существование фазового перехода твердое тело - гексатическая фаза - жидкость, что полностью согласуется с теорией Березинского - Костерлица - Таулесса.;51 Conclusions-Explanation
38;
Вычислен лэмбовский сдвиг (2P1/2-2S1/2) в ионах мюонного гелия (\mu ^3_2{\rm He})^+, (\mu ^4_2{\rm He})^+ с учетом вкладов порядка α3, α4, α5 и α6.;41 Results-Specific
Особое внимание уделено поправкам на поляризацию вакуума, структуру и отдачу ядра.;42 Results-Reference
Полученные численные значения сдвига 1259.8583 мэВ ((\mu ^3_2{\rm He})^+) и 1379.1107 мэВ ((\mu ^4_2{\rm He})^+) могут рассматриваться как надежная оценка при сравнении с экспериментальными данными коллаборации CREMA.;41 Results-Specific
39;
Проведен симметрийный анализ моноклинной, орторомбических и тригональной сверхструктур типа M3 X2, которые могут образовываться в сильно нестехиометрических соединениях MXy со структурой B1.;42 Results-Reference
Определены каналы переходов беспорядок-порядок MXy \rightarrow M3X2.;42 Results-Reference
Показано, что при понижении температуры в нестехиометрических соединениях MXy переходных металлов IV группы возможны две физически допустимые последовательности превращений, связанных с образованием сверхструктур M3 X2.;42 Results-Reference
На примере карбида ванадия VCy показана возможность образования орторомбической или моноклинной сверхструктуры V3 C2 с формированием наноструктуры.;42 Results-Reference
40;
Для моттовских диэлектриков с тетраэдрическим окружением получена зависимость эффективного параметра Хаббарда Ueff от давления.;42 Results-Reference
Эта зависимость не универсальна.;42 Results-Reference
Для кристаллов с d5-конфигурацией спиновый кроссовер подавляет электронные корреляции,  для d4-конфигураций параметр Ueff увеличивается после спинового кроссовера.;52 Conclusions-Specific
Для d2- и d7-конфигураций Ueff растет с повышением давления в высокоспиновом состоянии и насыщается после спинового кроссовера.;52 Conclusions-Specific
Рассмотрены особенности перехода диэлектрик-металл с ростом давления, показана возможность каскадов из нескольких переходов для разных конфигураций.;41 Results-Specific
41;
Анализируется параметрическая распадная неустойчивость электронной циклотронной волны необыкновенной поляризации, в результате развития которой возбуждаются два верхнегибридных плазмона на частотах, близких к половине частоты волны накачки.;2 Problem
Показано, что порог возбуждения неустойчивости двухплазмонного распада может существенно снижаться в условия экспериментов по электронному циклотронному нагреву в тороидальных магнитных ловушках, где профиль плотности плазмы зачастую оказывается немонотонным, что приводит к локализации верхнегибридных волн.;42 Results-Reference
42;
Проведено исследование устойчивости равновесия и нелинейных режимов неоднородно нагретой слабопроводящей жидкости в горизонтальном конденсаторе в поле тяжести и постоянном электрическом поле при униполярной инжекции заряда.;42 Results-Reference
Рассмотрена модель, в которой плотность инжектируемых с катода зарядов пропорциональна напряженности электрического поля в конденсаторе.;42 Results-Reference
Найдены зависимости критических параметров от степени нагрева и инжекции заряда.;42 Results-Reference
Изучено влияние числа Прандтля на границы неустойчивости равновесия и на частоту нейтральных колебаний.;42 Results-Reference
Нелинейные режимы электроконвекции исследованы при нагреве снизу.;42 Results-Reference
43;
Методами ядерного магнитного резонанса исследованы свойства низкотемпературной сверхтекучей фазы 3 He в «нематически упорядоченном» аэрогеле, в котором составляющие его нити практически параллельны друг к другу.;31 Method-Specific, 42 Results-Reference
Такая сильная анизотропия аэрогеля влияет на фазовую диаграмму 3 He и структуру сверхтекучих фаз.;51 Conclusions-Explanation
Развита теоретическая модель B-фазы с полярным искажением.;42 Results-Reference
Показано, что эта модель хорошо описывает наблюдаемые свойства низкотемпературной фазы.;42 Results-Reference
44;
Работа посвящена вычислению импульса локализованных возбуждений, таких как солитоны и вихревые кольца, стационарно движущихся в сверхтекучем газе или жидкости.;2 Problem
Прямое вычисление импульса интегрированием потока массы приводит к плохо сходящемуся интегралу.;1 Background
Предложен способ ренормализации этого интеграла с явным выделением вклада вихревой нити, который оказывается главным в случае вихревых колец большого, по сравнению с корреляционной длиной, размера.;42 Results-Reference
Проведено сравнение с ренормализацией Джонса и Робертса.;42 Results-Reference
Рассмотрены случаи неограниченной среды и газа в цилиндрической ловушке.;42 Results-Reference
Обсуждается вычисление скачка фазы параметра порядка для вихревого кольца в такой ловушке и получена простая оценка этого скачка для вихря большого радиуса.;42 Results-Reference
45;
Проводится теоретическое исследование фотоионизации атомов благородных газов ( Ar, Kr, Xe) ультракороткими электромагнитными импульсами скорректированной гауссовой формы.;2 Problem, 32 Method-Procedure
Вычисления проведены в рамках теории возмущений с помощью простой формулы для полной вероятности фотоионизации атома электромагнитными импульсами.;32 Method-Procedure
Установлены и проанализированы особенности рассматриваемого процесса в различных областях изменения параметров задачи.;42 Results-Reference
46;
Исследовано пространственное распределение мюонов с порогом E_\mu\approx 1.0\cdot\sec\theta ГэВ в широких атмосферных ливнях с E_0\geq10^{17} эВ за период наблюдений на Якутской установке с ноября 2011 г. по июнь 2013 г.;42 Results-Reference
Из него следует, что в области энергий (1-5)\cdot10^{17} эВ глубина максимума Xm каскадной кривой относительно быстро увеличивается по причине изменения состава космических лучей от преобладающих при E_0\approx 10^{17} эВ ядер железа к протонам.;52 Conclusions-Specific
47;
Исследуются оптические свойства наноразмерных двухкомпонентных ферми-систем.;2 Problem
Рассчитаны спектры фотопоглощения в ферми-системах, содержащих не более 102 пар противоположно заряженных частиц.;42 Results-Reference
Основное внимание уделяется роли коллективных плазмонных возбуждений.;32 Method-Procedure
Исследованы зависимости положения плазмонного резонанса от числа и соотношения масс частиц в системе.;42 Results-Reference
48;
В эксперименте по фазовой микроскопии показано, что в приповерхностном слое воды вблизи поверхности полимерной мембраны нафиона коэффициент преломления возрастает примерно в 1.1 раза по сравнению с объемной водой.;41 Results-Specific
Кроме того, этот слой обладает свойством двулучепреломления.;42 Results-Reference
Проведены эксперименты по УФ-облучению сухого (безводного) и набухшего в воде нафиона в геометрии скользящего падения.;42 Results-Reference
В этих экспериментах были изучены спектры вынужденной люминесценции.;42 Results-Reference
Получено, что эти спектры в обоих случаях одинаковы.;42 Results-Reference
При этом для сухого нафиона люминесценция может быть возбуждена только при условии, что зондирующее излучение облучает поверхность полимера.;53 Conclusions-Reference
В то же время люминесценция набухшего нафиона может быть возбуждена и в том случае, если расстояние между оптической осью и поверхностью составляет несколько сотен микрометров.;53 Conclusions-Reference
49;
Рассмотрены флуктуации потерь энергии быстрых заряженных частиц при столкновениях с осциллятором в дипольном приближении.;42 Results-Reference
В этом приближении задача решается точно и находятся флуктуации потерь энергии осциллятора из начального состояния |m\rangle=|0\rangle в виде суммы одномерных интегралов.;42 Results-Reference
Показано, что в классическом предельном переходе можно получить формулы теории Бора для флуктуации, а при скоростях иона, много больших атомных, можно получить аналоги формулы Фано в теории возмущений и формулы Титейка в непертурбативном случае.;42 Results-Reference
50;
Развита теория когерентного рентгеновского излучения релятивистского электрона, пересекающего трехслойную структуру, состоящую из двух аморфных и кристаллического слоев.;42 Results-Reference
В частности, рассматривается случай, когда второй аморфный слой является вакуумным.;2 Problem
Получены и исследованы выражения, описывающие спектрально-угловое распределение когерентного излучения в такой структуре.;42 Results-Reference
51;
Рассматривается движение заряженных частиц высокой энергии (космических лучей) в спиральном магнитном поле Паркера.;2 Problem
Показано, что при радиальной эжекции частиц из сферы, вне которой имеется поле Паркера, все покидающие сферу частицы фокусируются либо вдоль оси симметрии поля, либо в экваториальной плоскости в зависимости от полярности поля.;42 Results-Reference
На основе полученных результатов предлагается возможная модель, объясняющая происхождение релятивистских джетов.;52 Conclusions-Specific
52;
